,upwind_dist_km,site_Dd18O,site_DW,dist_inland_km,site_region
203,7284.918369,-2.415300649,-15.84227733,1500,middle
204,8784.918369,-2.655127594,-16.04980878,3000,inland
205,6129.196055,-2.016546871,-15.61590969,100,coast
206,7529.196055,-2.322961331,-15.93884515,1500,middle
207,9029.196055,-2.544555306,-16.11644645,3000,inland
208,6381.355012,-1.972099269,-15.70517224,100,coast
209,7781.355012,-2.261843938,-15.99776233,1500,middle
210,9281.355012,-2.472434051,-16.15758102,3000,inland
211,6641.9208,-1.903940978,-15.82621423,100,coast
212,8041.9208,-2.171186647,-16.0786616,1500,middle
213,9541.9208,-2.366834235,-16.21467209,3000,inland
214,6911.473366,-1.834646962,-15.93345972,100,coast
215,8311.473366,-2.082099169,-16.15136359,1500,middle
216,9811.473366,-2.264499757,-16.2665956,3000,inland
217,7190.654821,-1.788134722,-15.99809971,100,coast
218,8590.654821,-2.023738585,-16.19567139,1500,middle
219,10090.65482,-2.198157409,-16.2985332,3000,inland
220,7480.178653,-1.718296761,-16.08584728,100,coast
221,8880.178653,-1.93793523,-16.25643111,1500,middle
222,10380.17865,-2.101529462,-16.34269728,3000,inland
223,7780.840712,-1.648789393,-16.16368269,100,coast
224,9180.840712,-1.85439824,-16.31093915,1500,middle
225,10680.84071,-2.008407847,-16.38268476,3000,inland
226,8093.532399,-1.580007326,-16.23274869,100,coast
227,9493.532399,-1.77328641,-16.35980444,1500,middle
228,10993.5324,-1.918811067,-16.41883247,3000,inland
229,8419.256603,-1.4899813,-16.31291655,100,coast
230,9819.256603,-1.669107064,-16.41713085,1500,middle
231,11319.2566,-1.804814167,-16.4616051,3000,inland
232,8759.1471,-1.42405843,-16.36522854,100,coast
233,10159.1471,-1.594049874,-16.45489857,1500,middle
234,11659.1471,-1.723373309,-16.49000259,3000,inland
235,9114.492371,-1.338669399,-16.42598757,100,coast
236,10514.49237,-1.49816103,-16.49913054,1500,middle
237,12014.49237,-1.620097013,-16.52348269,3000,inland
238,9486.765099,-1.276703224,-16.46565667,100,coast
239,10886.7651,-1.429407393,-16.528225,1500,middle
240,12386.7651,-1.546538129,-16.54563637,3000,inland
241,9944.751722,-1.177694318,-16.52218641,100,coast
242,11344.75172,-1.320824874,-16.56998492,1500,middle
243,12844.75172,-1.431135998,-16.57761736,3000,inland
244,10359.87138,-1.102508652,-16.56004807,100,coast
245,11759.87138,-1.239295633,-16.59815359,1500,middle
246,13259.87138,-1.345059788,-16.59931232,3000,inland
247,10798.28066,-1.030991014,-16.59240203,100,coast
248,12198.28066,-1.162403031,-16.62235276,1500,middle
249,13698.28066,-1.264296173,-16.61802916,3000,inland
250,11262.74896,-0.946782871,-16.62631554,100,coast
251,12662.74896,-1.072608166,-16.6478463,1500,middle
252,14162.74896,-1.170459394,-16.6378264,3000,inland
253,11756.57104,-0.868284872,-16.65419111,100,coast
254,13156.57104,-0.989555924,-16.66889975,1500,middle
255,14656.57104,-1.084097987,-16.65423707,3000,inland
256,12283.70893,-0.795359449,-16.677108,100,coast
257,13683.70893,-0.912913073,-16.68627524,1500,middle
258,15183.70893,-1.004744329,-16.66782277,3000,inland
259,12848.98529,-0.714924037,-16.6992973,100,coast
260,14248.98529,-0.828902256,-16.70315713,1500,middle
261,15748.98529,-0.918117946,-16.68105884,3000,inland
262,13458.35217,-0.641811536,-16.7168449,100,coast
263,14858.35217,-0.752979878,-16.71654815,1500,middle
264,16358.35217,-0.840134263,-16.69158343,3000,inland
265,14119.27383,-0.565147049,-16.73273669,100,coast
266,15519.27383,-0.673784996,-16.72870663,1500,middle
267,17019.27383,-0.759078787,-16.70115883,3000,inland
268,14841.28678,-0.497039963,-16.74482579,100,coast
269,16241.28678,-0.603762952,-16.73797558,1500,middle
270,17741.28678,-0.687646023,-16.70847108,3000,inland
271,15636.84574,-0.428681452,-16.75514369,100,coast
272,17036.84574,-0.53377773,-16.74590008,1500,middle
273,18536.84574,-0.616460723,-16.71473127,3000,inland
274,16522.65105,-0.362518457,-16.76348227,100,coast
275,17922.65105,-0.466306226,-16.75231354,1500,middle
276,19422.65105,-0.548022873,-16.71980356,3000,inland
277,17521.82861,-0.300588242,-16.76988467,100,coast
278,18921.82861,-0.403376138,-16.75724339,1500,middle
279,20421.82861,-0.484353904,-16.723706,3000,inland
280,18667.71799,-0.244411706,-16.77456601,100,coast
281,20067.71799,-0.34647229,-16.76085108,1500,middle
282,21567.71799,-0.426912495,-16.72656376,3000,inland
283,20010.94252,-0.187739975,-16.77824191,100,coast
284,21410.94252,-0.289233153,-16.76368573,1500,middle
285,22910.94252,-0.369254133,-16.72881033,3000,inland
286,21633.90366,-0.138940329,-16.78059082,100,coast
287,23033.90366,-0.240074257,-16.76549793,1500,middle
288,24533.90366,-0.319830108,-16.73024709,3000,inland
289,23684.60828,-0.095636414,-16.782059,100,coast
290,25084.60828,-0.196548982,-16.76663096,1500,middle
291,26584.60828,-0.276141852,-16.73114561,3000,inland
292,26472.46873,-0.057303985,-16.7828846,100,coast
293,27872.46873,-0.158095465,-16.76726821,1500,middle
294,29372.46873,-0.237599646,-16.73165103,3000,inland
295,30846.56551,-0.026919213,-16.78322653,100,coast
296,32246.56551,-0.127664028,-16.76753215,1500,middle
297,33746.56551,-0.207134542,-16.73186038,3000,inland
298,47100,-0.005733559,-16.78330132,100,coast
299,48500,-0.106471652,-16.76758989,1500,middle
300,50000,-0.185937868,-16.73190618,3000,inland
