"","upwind_dist_km","site_Dd18O","site_DW","dist_inland_km","site_region"
"1",-2900,-0.000415256558250476,-5.6237688468741e-05,100,"coast"
"2",-1500,-0.00691686820164517,-0.00461197829339,1500,"middle"
"3",0,0.145351218522993,0.508062939275298,3000,"inland"
"4",-2821.44406461226,0.000507343847155894,7.69827336171147e-05,100,"coast"
"5",-1421.44406461226,0.00845981106945004,0.00631292560972696,1500,"middle"
"6",78.5559353877397,-0.179546139897568,-0.699393926931414,3000,"inland"
"7",-2742.09059340643,-0.000619874985230418,-0.000105390418411844,100,"coast"
"8",-1342.09059340643,-0.0103488164415744,-0.00864309341324798,1500,"middle"
"9",157.909406593566,-0.490619085716681,-1.79309818719707,3000,"inland"
"10",-2661.92322624752,0.000757397995321263,0.000144294813026136,100,"coast"
"11",-1261.92322624752,0.0126616526480161,0.0118325057178197,1500,"middle"
"12",238.07677375248,-0.788585261044306,-2.78709484326435,3000,"inland"
"13",-2580.92509437736,-0.000925475193813696,-0.000197580310157264,100,"coast"
"14",-1180.92509437736,-0.0154952617241744,-0.0162041883758448,1500,"middle"
"15",319.07490562264,-1.07416647431469,-3.69324079088293,3000,"inland"
"16",-2499.07879911009,0.00113091332132331,0.000270569747641503,100,"coast"
"17",-1099.07879911009,0.0189662207511487,0.0221862535744819,1500,"middle"
"18",400.921200889909,-1.34796282618477,-4.52160393462093,3000,"inland"
"19",-2416.36638940032,0.00113091332132331,0.000270569747641503,100,"coast"
"20",-1016.36638940032,0.0189662207511487,0.0221862535744819,1500,"middle"
"21",483.633610599683,-1.34796282618477,-4.52160393462093,3000,"inland"
"22",-2332.76933821165,-0.00138203936617121,-0.000370561104602984,100,"coast"
"23",-932.769338211652,-0.0232232206326399,-0.0303929339232241,1500,"middle"
"24",567.230661788348,-1.61061419236386,-5.28080127098562,3000,"inland"
"25",-2248.26851760781,0.00168904997277508,0.000507555635294921,100,"coast"
"26",-848.268517607814,0.0284394185576797,0.0416148657239575,1500,"middle"
"27",651.731482392186,-1.86261219796258,-5.97823397324561,3000,"inland"
"28",-2162.84417248251,-0.00206442235295423,-0.00069527176701456,100,"coast"
"29",-762.844172482506,-0.0348477721414664,-0.0570324705411025,1500,"middle"
"30",737.155827517494,-2.10453696596302,-6.62031594684152,3000,"inland"
"31",-2076.47589283779,0.00252344965823159,0.000952508538908603,100,"coast"
"32",-676.475892837794,0.0426986087446179,0.0780834333275848,1500,"middle"
"33",823.524107162206,-2.33677718874137,-7.21260536230503,3000,"inland"
"34",-1989.14258451374,-0.00308484851097024,-0.00130506794022267,100,"coast"
