40,1.008269365
39,1.008340533
38,1.00841242
37,1.008485032
36,1.008558377
35,1.008632464
34,1.008707302
33,1.0087829
32,1.00885927
31,1.008936421
30,1.009014364
29,1.009093113
28,1.009172677
27,1.00925307
26,1.009334304
25,1.009416394
24,1.009499352
23,1.009583193
22,1.009667932
21,1.009753584
20,1.009840165
19,1.00992769
18,1.010016176
17,1.010105639
16,1.010196094
15,1.010287558
14,1.010380044
13,1.010473565
12,1.010568135
11,1.010663761
10,1.010760452
9,1.01085821
8,1.010957034
7,1.011056918
6,1.011157849
5,1.011259806
4,1.01136276
3,1.011466668
2,1.011571476
1,1.011677114
0,1.011783493
-1,1.011890505
-2,1.011998017
-3,1.01210587
-4,1.012213876
-5,1.012321813
-6,1.012429428
-7,1.01253643
-8,1.012642493
-9,1.012747253
-10,1.012850314
-11,1.012951248
-12,1.013049598
-13,1.013144889
-14,1.013236634
-15,1.013324342
-16,1.01340753
-17,1.013485736
-18,1.013558531
-19,1.013625532
-20,1.013686414
-21,1.013740923
-22,1.013788882
-23,1.013830207
-24,1.013864905
-25,1.013893079
-26,1.013914929
-27,1.013930747
-28,1.013940912
-29,1.013945877
-30,1.013946162
-31,1.013942336
-32,1.013935003
-33,1.013924787
-34,1.013912318
-35,1.013898213
-36,1.013883067
-37,1.013867437
-38,1.013851835
-39,1.013836722
-40,1.013822502
-41,1.013809517
-42,1.013798053
-43,1.013788336
-44,1.013780541
-45,1.013774792
-46,1.013771171
-47,1.013769725
-48,1.01377047
-49,1.013773398
-50,1.013778482
-51,1.013785686
-52,1.013794962
-53,1.013806262
-54,1.013819535
-55,1.013834732
-56,1.013851808
-57,1.01387072
-58,1.013891434
-59,1.013913918
-60,1.013938148
